name,category,season,zone_min,zone_max,min_sun_hours,space_sqft_per_plant,base_water_inches_per_week,hot_water_inches_per_week,days_to_maturity,spring_direct_start_offset_days,spring_direct_end_offset_days,spring_transplant_start_offset_days,spring_transplant_end_offset_days,fall_direct_start_offset_days,fall_direct_end_offset_days,fall_transplant_start_offset_days,fall_transplant_end_offset_days,indoor_seed_start_offset_days,indoor_seed_end_offset_days,notes,description,optimal_sun,optimal_soil,when_to_plant,watering,harvesting,spacing,growing_from_seed,transplanting,other_care,slug
Basil,herb,warm,4.0,10.5,6,1.0,1.25,1.75,65,0.0,70.0,0.0,56.0,-84.0,-42.0,-84.0,-42.0,-42.0,-28.0,Good companion herb for tomatoes.,"Basil is a leafy, fragrant annual with a bushy appearance. The most common type of basil is sweet basil; other types include purple basil (less sweet than common basil), Lemon basil (lemon flavor), and Thai basil (licorice flavor). Basil is easy to grow and works well in Italian dishes, but it only grows in the summer, so plan accordingly.",Full Sun(at least 6 hours a day),Loamy,"To get a head start, start the seeds indoors 6 weeks before the last spring frost. Plant the seeds/seedlings about 10 to 12 inches apart. After the last frost date, plant the seeds/seedlings in the ground. The soil should be around 70ºF for best growth.",Make sure soil remains moist but is well-drained.,"After the seedlings have their first six leaves, prune to above the second set. Pinch or cut at the base lateral stems to harvest. The best time to harvest is right when the plant starts to bud (before the flowers bloom).",They should grow to about 12 to 24 inches in height. Final spacing should be 12-24 inches in all directions.,"After the last frost date, plant the seeds/seedlings in the ground about ¼-inch deep. Plant the seeds/seedlings about 10 to 12 inches apart.","After the last frost date, plant the seeds/seedlings in the ground about ¼-inch deep. Plant the seeds/seedlings about 10 to 12 inches apart.",Remember to pinch out the flower heads as soon as they appear to make sure that the leaves will continue growing.,basil
Cilantro,herb,cool,3.0,10.5,4,0.25,0.75,1.0,45,-28.0,21.0,,,-84.0,-28.0,,,,,Prefers cooler weather and can bolt in heat.,"Coriander/cilantro is a fast-growing, aromatic herb that grows in the cooler weather of spring and fall. This herb is used to flavor many recipes and the entire plant is edible. The leaves are called cilantro and the seeds are called coriander.",Full-Part Sun,Loamy,"Plant cilantro in the spring after the last frost date or in the fall. In the Southwest, a fall planting may last through spring when the weather heats up again. Do not grow in summer heat as the plants will bolt (so it is past harvesting). The leaves that grow on bolted plants tend to be bitter in flavor.","Water the seedlings regularly throughout the growing season. They require about 1 inch of water per week for best growth. Once the plants are established, they do not need as much water per week. Keep them moist, but be careful not to overwater them.","Harvest while it is low. When the cilantro grows its stalk, cut off the plant after the seeds drop and let it self-seed. The large leaves can be cut individually from the plants. For the smaller leaves, cut them off 1-½ to 2 inches above the crown. You can also remove the entire plant at once; however, this means that you will not be able to continue harvesting for the rest of the growing season.",Space rows about 12 inches apart. Thin seedlings to 6 inches apart so that they have room to develop healthy leaves.,"Plant the seeds in light, well-drained soil and space them 1 to 2 inches apart. Sow the seeds at 3-week intervals for continued harvest. It is important to keep the seeds moist during their germination, so remember to water the plants regularly.",Transplant to your desired space in the garden.,"To help prevent weeds, mulch around the plants as soon as they are visible above the soil. You can also till shallowly to help prevent root damage from weeds.",cilantro
Parsley,herb,cool,4.0,10.5,4,0.5,0.75,1.0,75,-28.0,21.0,-14.0,21.0,-84.0,-28.0,-70.0,-28.0,-56.0,-42.0,Slow to germinate; indoor starts help.,"Parsley is a biennial plant with bright green, featherlike leaves and is in the same family as dill. This herb is used in soups, sauces, and salads, and it lessens the need for salt in soups. Not only is it the perfect garnish, but also it is healthy; it’s rich in iron and vitamins A and C.",Full-Part Sun,Loamy,"For a head start, plant seeds in individual pots indoors 10 to 12 weeks before the last spring frost. Plant the seeds 3 to 4 weeks before the last spring frost because parsley is a slow starter. (The plants can handle the cold weather.) It can take up to 3 weeks for the plants to sprout.","Throughout the summer, be sure to water the plants evenly.","When the leaf stems have three segments, parsley is ready to be harvested. Cut leaves from the outer portions of the plant whenever you need them. Leave the inner portions of the plant to mature.",Allow 6-10 inches of space in all directions.,"For better germination, you can soak the seeds overnight. Plant the seeds in moist, rich soil about 6 to 8 inches apart. To ensure the best growth, the soil should be around 70ºF.",Transplant to your desired space in the garden.,,parsley
Beans,vegetable,warm,4.0,10.5,6,0.5,1.25,1.75,60,0.0,70.0,,,-84.0,-42.0,,,,,Direct sow after frost risk has passed.,"Pole and bush beans (more commonly called green beans) are a tender vegetable and a great addition to any garden, great eaten fresh off the plant or incorporated into a recipe. Bush beans require less maintenance, so they are easier to grow.",Full Sun(at least 6 hours a day),Loamy,"Seeds can be sown outdoors anytime after last spring frost, minimum soil temp is 48°F.","Mulch soil to retain moisture; make sure that it is well-drained. Water regularly, from start of pod to set. Water on sunny days so foliage will not remain soaked.","Beans are picked at an immature stage, when the seeds inside have not yet fully developed. Look for firm, sizable pods and snap or cut off the plant. Do not tear the plant.",Final plant spacing should be 2 to 4 inches apart in all directions.,"Plant 1 inch deep, a little deeper for sandier soils. Cover soil to warm if necessary. Bush beans: Plant 2 inches apart. For a harvest that lasts all summer, sow beans every 2 weeks. If you’re going to be away, skip a planting.",Do not start seeds indoors; they may not survive transplanting.,,beans
Beets,vegetable,cool,3.0,10.5,5,0.2,1.0,1.25,60,-28.0,28.0,,,-84.0,-35.0,,,,,Cool-weather root crop; workable in spring and fall.,"Beets are a cool season vegetable crop. This root veggie grows quickly and has many different varieties which showcase deep red, yellow or white bulbs of different shapes. They can survive frost and almost freezing temperatures, which makes them a good choice for northern gardeners and an excellent long-season crop.",Full-Part Sun,"Loamy, Sandy, Neutral pH","Wait until soil reaches 50 degrees before planting. Early crop can be planted in March/April, and late crop anytime from June to September. Successive plantings are also possible as long as the weather doesn’t exceed 75 degrees F. Space plantings about 20 days apart. Winter crops are a definite possibility in Zone 9 and above.",Beets need to maintain plenty of moisture.,"Days to maturity tend to be between 50 and 70 for most varieties, although they can be harvested at any time you see fit. If you like larger bulbs, wait longer, but understand they will be tougher and woody. Don’t let greens grow above 6 inches before harvesting. Don’t forget about the tops! Beet greens have a delicious and distinctive flavor, and hold more nutrition than the roots.","Thinning is necessary, as you may get more than one seedling out of each seed. Thin when they read about 2 inches high by pinching them off. Pulling them out of the ground may disturb the close surrounding roots of nearby seedlings. Established plants should be thinned to 3–4 inches between plants.","Plant seeds ½ inch deep and 1-2 inches apart. Make sure soil remains moist for germination. In zones with low moisture and rainfall, soak the seeds for 24 hours before planting.",Transplanting beets is not recommended.,"Mulch and water well. Any necessary cultivation should be gentle, beets have shallow roots that are easily disturbed.
",beets
Bell Peppers,vegetable,warm,4.0,10.5,8,1.5,1.25,1.75,80,,,7.0,70.0,,,-112.0,-84.0,-70.0,-56.0,Best performance comes from transplants.,"Peppers are a tender, warm-season crop. They resist most pests and offer something for everyone: spicy, sweet or hot, and a variety of colors, shapes and sizes. For this page, we will focus on sweet bell peppers.",Full Sun(at least 6 hours a day),"Loamy, Neutral pH","Start seeds indoors 8-10 weeks before last spring frost date. Soil should be at least 65 degrees F, peppers will not survive transplanting at temps any colder. Northern gardeners can warm up the soil by covering it with black plastic.","Soil should be well-drained, but maintain adequate moisture either with mulch or plastic covering. Water one to two inches per week, but remember peppers are extremely heat sensitive. If you live in a warm or desert climate, watering everyday may be necessary.","Harvest as soon as peppers reach desired size and color(green peppers are just a less mature stage of red, yellow or purple bell peppers). The longer bell peppers stay on the plant, the more sweet they become and the greater their Vitamin C content. Use a sharp knife or scissors to cut peppers clean off the plant for the least damage.",Final plant spacing should be 18 to 24 inches apart in all directions.,"The temperature must be at least 70 degrees F for seed germination, so keep them in a warm area for the best and fastest results.","Begin to harden off plants about 10 days before transplanting. After the danger of frost has passed, transplant seedlings outdoors, 18 to 24 inches apart (but keep paired plants close to touching.)","If necessary, support plants with cages or stakes to prevent bending. Try commercially available cone-shaped wire tomato cages. They may not be ideal for tomatoes, but they are just the thing for peppers. For larger fruit, spray the plants with a solution of one tablespoon of Epsom salts in a gallon of water, once when it begins to bloom, and once ten days later.",bell_peppers
Broccoli,vegetable,cool,3.0,9.5,6,1.5,1.25,1.5,80,-21.0,7.0,-21.0,21.0,-100.0,-70.0,-84.0,-56.0,-49.0,-35.0,Strong spring and fall crop; struggles in sustained heat.,"Broccoli is a cool-season crop that, like spinach, can be grown in the spring or fall. In fact, you may be able to get a continual harvest throughout both seasons if you time planting correctly. A member of the cabbage family, broccoli is rich in vitamins.",Full Sun(at least 6 hours a day),"Sandy, Mildly Acidic to Neutral pH","Broccoli can germinate in soil with temperatures as low as 40ºF. For spring plantings, seed or set transplants 2 to 3 weeks before last spring frost date. If you transplant, assume 10 less days for growth or the “days to maturity” on the seed packet. For fall plantings, seed 85 to 100 days before your average first fall frost. If you live in a warm climate, a fall planting is best, as broccoli thrives in cool weather. Plant seeds in mid- to late-summer in most places.","Provide consistent soil moisture with regular watering, especially in drought conditions. Some varieties of broccoli are heat tolerant, but all need moisture. Do not get developing heads wet when watering.","In terms of timing: Harvest broccoli when the buds of the head are firm and tight before the heads flower. If you see yellow petals, harvest immediately. For best taste, harvest in the morning before the soil heats up. Cut the stalk of the main head at a slant, about 5 to 8 inches below the head. Most varieties have side-shoots that will continue to develop after the main head is harvested. You can harvest from one plant for many weeks, in some cases, from spring to fall, if you’re summer isn’t too hot.","Space plants 12 to 24 inches apart, depending on the side heads you want to harvest. If you overseed, you will need to thin seedlings to 12 inches apart to give room for the broccoli to grow.","Broccoli requires full sun and moist, fertile soil that’s slightly acidic. Work in 2 to 4 inches of rich compost or a thin layer of compost before planting. Plant seeds ½ inch deep.",Set transplants slightly deeper than they were grown originally.,"Roots are very shallow, do not cultivate. Suffocate weeds with mulch.",broccoli
Carrots,vegetable,cool,3.0,10.5,6,0.15,1.0,1.25,75,-35.0,21.0,,,-84.0,-42.0,,,,,Direct sow only; keep seed bed evenly moist.,"Carrots are a popular root vegetable that are easy to grow in sandy soil. They are resistant to most pests and diseases, and are a good late season crop that can tolerate frost. Not all carrots are orange; varieties vary in color from purple to white.",Full Sun(at least 6 hours a day),"Sandy, Neutral pH",Plan to plant seeds outdoors 3 to 5 weeks before the last spring frost date.,Water at least one inch per week.,"Carrots are mature at around 2 ½ months and ½ inch in diameter. You may harvest whenever desired maturity is reached.
You may leave mature carrots in the soil for storage if the ground will not freeze.",Final spacing should be 3-4 inches in all directions.,Plant seeds 3-4 inches apart in rows. Rows should be at least a foot apart.,Transplanting carrots is not recommended.,"Gently mulch to retain moisture, speed germination and block the sun from the roots. Soil should be well drained and loose to prevent forking and stunting of the root growth. Carrots taste much better after a couple of frosts. Following the first hard frost in the fall, cover carrot rows with an 18-inch layer of shredded leaves to preserve them for harvesting later.",carrots
Cucumbers,vegetable,warm,4.0,10.5,6,3.0,1.5,2.0,60,7.0,70.0,7.0,70.0,-84.0,-42.0,-70.0,-42.0,-28.0,-14.0,Warm soil speeds growth and reduces transplant shock.,"Cucumbers are a warm-season vegetable planted outside in the ground no earlier than 2 weeks after last spring frost date. Most varieties will grow in any amount of space, thanks to the plant's ability to climb. The most common varieties of slicing cucumbers have sprawling vines with large green leaves and curling tendrils. The growth of these plants is fast, and the crop yield is abundant if you care for them properly.",Full Sun(at least 6 hours a day),"Loamy, Neutral pH","Cucumbers are seeded or transplanted outside in the ground no earlier than 2 weeks after last frost date of spring. Cucumbers are extremely susceptible to frost damage; the soil must be at least 65ºF for germination. Do not plant outside too soon! For an early crop, start cucumber seeds indoors about 3 weeks before you transplant them in the ground. They like bottom heat of about 70ºF (21ºC). If you don’t have a heat mat, put the seeds flat on top of the refrigerator or perch a few on top of the water heater.","When seedlings emerge, begin to water frequently, and increase to a gallon per week after fruit forms. Water consistently; put your finger in the soil and when it is dry past the first joint of your finger, it is time to water. Inconsistent watering leads to bitter-tasting fruit. Water slowly in the morning or early afternoon, avoding the leaves.","Harvest regular slicing cucumbers when they about 6 to 8 inches long (slicing varieties). Harvest dills at 4 to 6 inches long and pickles at 2 inches long for pickles. Harvest by cutting or pinching at the base of the fruit. Cucumbers are best picked before they seeds become hard and are eaten when immature. Do not let them get yellow. A cucumber is of highest quality when it is uniformly green, firm and crisp. At peak harvesting time, you should be picking cucumbers every couple of days. Keep them picked. If you don’t, as plants mature, they will stop producing.","When seedlings reach 4 inches tall, thin plants so that  they are 1½ feet apart.","Sow seeds in rows, 1 inch deep and 6 to 10 inches apart.","Before you plant outside, select a site with full sun.","Mulch to hold in soil moisture. If you have limited space or would prefer vertical vines, set up trellises early to avoid damage to seedlings and vines. Spray vines with sugar water to attract bees and set more fruit.",cucumbers
Eggplant,vegetable,warm,5.0,10.5,8,2.25,1.25,1.75,80,,,14.0,70.0,,,-112.0,-84.0,-70.0,-56.0,Needs stable warm nights before transplanting outdoors.,"Eggplants are short-lived perennial vegetables, but are usually cultivated as annuals. Also known as aubergines, eggplants differ mainly in size, shape and color of the fruits. Eggplants are tropical and subtropical, requiring relatively high temperatures. Related crop include tomatoes, potatoes and peppers.",Full Sun(at least 6 hours a day),"Sandy, Mildly Acidic to Neutral pH",Start plants indoors 2 months before the soil warms up or buy nursery transplants just before planting.,Water well to where the soil is moist like a rung out sponge.,"Harvest 16 to 24 weeks after sowing when the skin of the fruit is shiny and unwrinkled. Cut the fruit close to the stem, but leaving about an inch of it attached.",Final plant spacing should be 24 to 30 inches apart in all directions.,Plant seeds at roughly 1.5 times the seed’s diameter.,Place 3 to 4 inch tall seedlings 24 to 30 inches apart in well-prepared beds.,Pinch out the terminal growing points for a bushier plant. Stake plants over 24 inches tall.,eggplant
